Date,MARA,RIOT,SMCI,SOFI,RIVN
2022-12-30,9615000,6592800,6392000,28240200,17181800.0
2023-01-03,13014400,7255600,8152000,29303200,25993900.0
2023-01-04,32367400,12325300,14496000,48731400,28730200.0
2023-01-05,24923800,14097000,10978000,30512000,24201200.0
2023-01-06,19314200,10412900,10331000,31589500,22022300.0
2023-01-09,44884600,20809400,26216000,50435000,21572200.0
2023-01-10,42394300,22171700,41583000,42334400,26468300.0
2023-01-11,43071900,19031800,21214000,41602100,33365100.0
2023-01-12,67400000,27692800,10803000,49408800,30584200.0
2023-01-13,78829700,29524800,6679000,32477100,42771400.0
2023-01-17,59317600,27444600,11697000,37801400,25623600.0
2023-01-18,58413500,23793100,15376000,38396700,22158100.0
2023-01-19,35227300,13255800,49103000,32006500,28441500.0
2023-01-20,48773100,19912300,13990000,31135600,23673400.0
2023-01-23,47089200,23506100,11822000,39018500,41768300.0
2023-01-24,39398800,21428800,12759000,32563800,22660100.0
2023-01-25,34985400,12213000,10446000,30127800,26136500.0
2023-01-26,30466600,11489500,7199000,29992300,32276700.0
2023-01-27,48107300,11799300,9050000,48503500,73907100.0
2023-01-30,36748000,18810700,11483000,164184300,34992500.0
2023-01-31,24173200,14011200,15716000,68287100,31614400.0
2023-02-01,43280700,18687900,32033000,75445300,36443900.0
2023-02-02,60716900,27398500,15180000,106231100,39070000.0
2023-02-03,34183100,18986600,14010000,55989100,27177300.0
2023-02-06,23094600,13765000,8776000,41269900,15772600.0
2023-02-07,32060600,18661500,8763000,40804000,28566900.0
2023-02-08,23079400,14973100,17580000,25636300,18650900.0
2023-02-09,27776800,17176000,24657000,50352400,18834400.0
2023-02-10,20107400,9880200,13977000,37285300,17148500.0
2023-02-13,14942300,7623800,10810000,23626800,13538600.0
2023-02-14,36350700,13904900,15172000,28449700,17274200.0
2023-02-15,50585400,20023300,10519000,35683800,27957200.0
2023-02-16,66418700,22825300,16980000,30458000,21737700.0
2023-02-17,44076900,19224700,13869000,30999500,16589200.0
2023-02-21,29693300,12728500,11200000,26332900,13737700.0
2023-02-22,28798700,13407700,8710000,22778900,16786900.0
2023-02-23,18858900,11009300,18328000,19210200,25995900.0
2023-02-24,25465500,12051500,19451000,16954200,20161600.0
2023-02-27,25241200,7351100,18911000,19082100,20042500.0
2023-02-28,38171800,12476400,17416000,17430600,36331100.0
2023-03-01,26686600,10997100,10785000,19827300,87442100.0
2023-03-02,22430900,10167800,13194000,18003500,41698200.0
2023-03-03,20930000,13744600,9969000,25456400,48011300.0
2023-03-06,19853800,13040500,8265000,26214300,32080000.0
2023-03-07,17933100,8767700,9664000,28344300,128729000.0
2023-03-08,14775300,8662300,14610000,16558600,76217700.0
2023-03-09,19083200,12832900,11651000,27793300,40790600.0
2023-03-10,20766700,11780000,17333000,86809700,42475700.0
2023-03-13,66973000,23685800,12826000,59761300,43513000.0
2023-03-14,64006900,30018800,10673000,36750400,36173200.0
2023-03-15,38441500,16291000,12431000,34260500,43498100.0
2023-03-16,35334500,12959400,15443000,25128700,30325200.0
2023-03-17,61120200,40834400,18256000,27173200,36718200.0
2023-03-20,39108100,29574900,15409000,33271400,30927600.0
2023-03-21,46252300,25618600,20352000,29210300,27341300.0
2023-03-22,48722800,30841500,24499000,62273300,23357000.0
2023-03-23,45826800,31925100,20620000,35687800,20984200.0
2023-03-24,28289400,26370500,18312000,18657400,17770100.0
2023-03-27,23372100,16539900,17689000,24284700,16035400.0
